date_column,sales_column
2023-07-01,2665
2023-07-02,3718
2023-07-03,4496
2023-07-04,1530
2023-07-05,1198
2023-07-06,2702
2023-07-07,4811
2023-07-08,2534
2023-07-09,4161
2023-07-10,1611
2023-07-11,4220
2023-07-12,2396
2023-07-13,3294
2023-07-14,4576
2023-07-15,2651
2023-07-16,4953
2023-07-17,3011
2023-07-18,2259
2023-07-19,3021
2023-07-20,2863
2023-07-21,1480
2023-07-22,1509
2023-07-23,3457
2023-07-24,2429
2023-07-25,4047
2023-07-26,1266
2023-07-27,3829
2023-07-28,1270
2023-07-29,1467
2023-07-30,4819
2023-07-31,4618